sub,run_is,r2_cv,r2_cv_std,r2_train,coefficient,coefficient_std,r2_scores,correlation,n_trials,null_r2
sub-18,run-07,0.26619387064252303,0.21287617581933602,0.34690918943798754,0.3700667711672474,0.021153542364090797,"[0.25613356695994494, 0.07492990004753408, 0.3107913371294605, 0.04822331188572815, 0.6408912371899474]",0.5889899739706842,30,-0.45032466788956144
sub-18,run-08,0.3066391529848614,0.43808551240857474,0.6617227524866035,0.748328849588526,0.027155323537702603,"[0.11837537868077663, 0.859218323507098, 0.7740698486076716, 0.05571360877988585, -0.27418139465112534]",0.8134634303314462,30,-0.8249858742093933
sub-18,run-09,-0.21329228878659984,0.6022534794708783,0.22730391685425388,0.3724811697505955,0.06381490126798109,"[-0.8600072933579692, -0.1741376720560186, 0.3075931947141335, 0.5779405203959783, -0.917850193629123]",0.47676400540965125,30,-0.8031462813919283
sub-18,run-10,0.13587066945839718,0.35227513971326363,0.5108797087148405,0.696876438844084,0.06866870293903449,"[0.6233012544056487, 0.06025918992638035, -0.46044665375808713, 0.18032305688691175, 0.2759164998311323]",0.7147584967769467,29,-0.3773198720586195
sub-19,run-01,0.07522311868138323,0.49367323946386,0.3976910698869892,0.6157027305777031,0.06701663868973591,"[0.39597408807406187, 0.5022171132529754, -0.8734180948244912, 0.25710059180190814, 0.09424189510246195]",0.6306275207180456,40,-0.5551479152807227
sub-19,run-02,0.07120705469319825,0.5164573778564043,0.32671517783674486,0.4285322248621,0.060844257905314954,"[0.5654745392707048, 0.3435185661556679, -0.3212531476010261, -0.7448117064570139, 0.5131070220976586]",0.5715900435073595,38,-0.30005525683389944
sub-19,run-03,-0.0009758431391170719,0.34790536351084766,0.2774064172002785,0.515150361821865,0.04923485726512202,"[0.38956577400717873, 0.1514432025252357, 0.25671355723363465, -0.5470957660873723, -0.2555059833742621]",0.5266938552900334,40,-0.3187442907694663
sub-19,run-04,-1.4876514234347609,2.8515396570055405,0.2722895893573136,0.5251527579837487,0.07668973300834052,"[-0.08731561606587324, 0.2853353355564904, -0.4237222274747543, -7.172989591404628, -0.03956501778503885]",0.5218137496821197,39,-2.4140296452220418
sub-19,run-05,-0.8855302383472281,1.4230201061488177,0.04112508043167917,0.15432395658038034,0.09111698547367451,"[-0.32137358411958394, -3.704431594600326, -0.4478245406542052, -0.07201567368019801, 0.11799420131817195]",0.20279319621643946,40,-1.0175146785461135
sub-19,run-06,-0.06696527840407547,0.37557500812097794,0.1669632351722814,0.3485258826070325,0.05582813150361842,"[0.21699528741797058, -0.5132500369730726, 0.3540485700937316, 0.1313836648920096, -0.5240038774510165]",0.40861134978397445,40,-0.28264162984220526
sub-20,run-01,-0.414808388250699,0.517708528518416,0.03438092461072206,0.1658425333813313,0.062690061964222,"[-0.3066222221509829, -0.43656119169540286, -1.3758355356141942, -0.08216055087424401, 0.12713755908132884]",0.18542093897594944,30,-0.3496649203322564
sub-20,run-02,-0.05667498043205943,0.6117701692703417,0.27340196059451927,0.4565985825381794,0.024591338544611225,"[0.12436956604853744, -0.0056719226341142015, 0.36883894847985066, 0.46268326624420275, -1.2335947602987738]",0.5228785333081857,30,-0.2208224741290691
sub-20,run-03,-0.21584526291625378,1.2566559659165404,0.522520951217216,0.8135237841237741,0.13358080650525117,"[0.7848010449593688, -2.68463598545759, 0.15425357198027634, 0.5062024138774042, 0.16015264005927154]",0.7228561068547571,30,-0.4228731576655166
sub-20,run-04,0.23335804300578555,0.38936817402345286,0.5177290749804833,0.4949200765186383,0.033919310532932304,"[0.8320638167136133, 0.44475027706303427, 0.23192478618999723, -0.28915047363523105, -0.0527981913024862]",0.7195339289988232,30,-0.28845779975798036
sub-20,run-05,0.08458383573811709,0.3878435040090179,0.40997977754426473,0.6165520729199957,0.012874798335492791,"[0.09280516416265838, -0.5723525826515605, 0.1681802153743116, 0.6444624445544411, 0.0898239372507349]",0.6402966324636297,30,-0.4630692269594111
sub-20,run-06,-0.3040434180787016,0.5321099181655469,0.35210077588682354,0.675036717312931,0.2639652030186502,"[0.38608407843835313, -1.1548695643031954, -0.3326197652034246, -0.5230893689189557, 0.10427752959371461]",0.5933808017511383,30,-0.48672859818587105
sub-20,run-07,-0.01908498012092492,0.31207328378412175,0.21497773365003647,0.40111990871648917,0.03198937478848,"[0.07727935804361796, -0.6082700399381953, 0.017260987867395716, 0.09730892993347406, 0.32099586348908293]",0.4636569137304396,30,-0.29754632947513454
sub-20,run-08,0.062347062369233666,0.3304750807813502,0.35897496061796874,0.6915148629850092,0.11164606477683267,"[0.5774952199683904, -0.21354439682938686, 0.07279665633304133, -0.3568607706394502, 0.23184860301357368]",0.5991451916004739,30,-0.24651200810701707
sub-20,run-09,-0.3722813556323897,1.0311076882500951,0.3058202590393564,0.5658890969047591,0.07278353439539358,"[-2.360299425308778, 0.47020528076029533, -0.3485067463016145, 0.2985546115435088, 0.07863950114463947]",0.5530101798695539,30,-0.22963080057691876
sub-21,run-01,-2.1514399925519347,2.3128220726400825,0.02908295362129154,0.35720134693833466,0.1442653505804879,"[-2.0640251897338073, -0.014872772268881729, -0.13842565907787496, -2.1316125297913886, -6.408263811887721]",0.17053724995229405,30,-5.13299652642969
sub-21,run-02,-0.35163556652268535,0.4128699697435926,0.07333935688159154,0.2016680729130657,0.045463062812756194,"[-0.9346221112548636, -0.10498535064389913, -0.7642764543822358, 0.0433771902632365, 0.002328893404335286]",0.27081240163920056,40,-0.6287319843436618
sub-21,run-03,-0.3647677306583453,0.7794440207364208,0.2523646351647405,0.4426542321845952,0.0802698833637462,"[0.59890188178226, 0.11204618145473377, -1.7334281399882383, -0.45473334720890746, -0.34662522933157436]",0.5023590699536938,30,-0.5892035057809688
sub-21,run-04,-0.6379674177808711,0.7232376467871834,0.00824662810523591,0.08728434833855543,0.12988409604381554,"[-2.069045121694092, -0.3730098003663693, -0.22766328362372446, -0.11309145942627397, -0.4070274237938958]",0.09081094705615454,40,-0.5142783673095777
sub-21,run-05,0.035479951935060615,0.28167266119935774,0.15698907730813982,0.39504948512218385,0.06093540649139202,"[-0.294258911082832, -0.25136550827453963, 0.018389044133858, 0.4004068394825059, 0.3042282954163108]",0.3962184716897233,40,-0.11630972825793404
sub-21,run-06,-0.14412535029648343,0.35657692080528774,0.2464706759854407,0.40083770246307165,0.031706003956716626,"[0.09312809855671111, 0.28740141257821594, -0.6290080887381766, -0.5017906142819848, 0.02964244040281716]",0.4964581311504935,30,-0.7591994296812142
sub-21,run-07,-0.1895292244058555,0.9818573989640698,0.4114058510658848,0.4601627648962112,0.04655434639142361,"[0.5802382415521845, -2.0820870958703885, 0.1756715873290967, -0.14656167613556237, 0.525092821095392]",0.6414092695509511,30,-0.22515601949706462
sub-21,run-08,-1.128411171647875,2.135000562193619,0.10340257146342946,0.2743912142724872,0.10777654321183375,"[-0.1471993286656197, 0.13612734705712948, 0.11963484647890443, -0.3684809647978373, -5.382137758311952]",0.3215627022268427,20,-0.5918973626713245
sub-21,run-09,-0.01797789136808381,0.8173740614319367,0.3842543034961108,0.4369450909691677,0.08716897868371465,"[0.6103836235928841, 0.07027793801189819, -1.6086263093885358, 0.5324989780380273, 0.3055763129053072]",0.6198824916837954,40,-0.1001272131247104
sub-21,run-10,-0.23754690610688378,0.8350571341245538,0.15087862755974846,0.2667912065319023,0.10777045033439486,"[0.3957636378625543, -1.8774082060914083, -0.054636596211735, 0.28319251696736325, 0.06535411693880677]",0.3884309817197237,40,-0.47238975190411514
sub-21,run-11,-1.0489395502641996,2.8317467249604418,0.5000614792044344,0.5735235754617813,0.028948424270016048,"[0.23849513957920565, -6.7009464444985944, 0.6306777986677445, 0.4747447092569207, 0.1123310456737252]",0.7071502522126643,40,-2.408957400732323
sub-21,run-12,-0.7772436829070049,0.8359812939049351,0.32063071661710263,0.579965058957461,0.20154931635250461,"[-1.6945665408283466, -1.8471040750893555, -0.02339551288158903, -0.460072687958776, 0.13892040222304358]",0.5662426305190228,40,-0.3842728159997178
sub-21,run-13,0.18511588903776582,0.3013179230969757,0.2955647971145877,0.4208911421868299,0.08837745838187044,"[0.22229596518208472, 0.46770889090183865, -0.063784990851798, -0.2429130072618888, 0.5422725872185925]",0.5436587138219969,40,-0.031247644661852435
sub-21,run-15,0.320286861729118,0.3181190217805725,0.5672857811853056,0.7190646975400175,0.0636227898178284,"[0.7968138233198827, 0.24448671664770527, 0.17947059362442053, -0.1410058424648375, 0.5216690175184192]",0.75318376322469,30,-0.3347165909838473
sub-21,run-16,-0.4049735622614664,0.4799608194646469,0.07868895827524969,0.44544901680820886,0.13727512126432928,"[-0.08717515982687507, -0.13593496119283843, -1.3588108436371575, -0.24681298063715995, -0.19613386601330118]",0.2805155223427918,30,-1.0015788800435297
